"Model","AIC","RMSE","R_Squared","Parameters"
"Linear",396.62191898877,15.4346317022804,0.83069052706976,"(Intercept) = -4776.74200068276, Year = 2.40797865650997"
"Exponential",238.226272380646,12.0826296504655,0.896244376672404,"r = 0.0651350855653017, N0 = 2.87183069187811"
"Logarithmic",261.863039618246,15.5369930023879,0.828437385411376,"a = 4805.11547113459, b = -36483.8791440558"
"Logistic",199.159034450548,7.80592722078737,0.956695033049602,"K = 102.151713944841, r = 0.20525184451242, t0 = 2006.1793127706"
"Gompertz",198.351945492111,7.73919202385054,0.957432321991313,"K = 112.411924939556, r = 0.122290102396087, t0 = 2004.05119747198"
"Weibull",NA,NA,NA,NA
"von Bertalanffy",263.608199746255,15.4949282895897,0.829365101971614,"L_inf = 8325.59255485187, k = 0.000288922165830535, t0 = 1983.68929246444"
"Normal",205.741523706681,8.37214251009236,0.950184792868788,"mu = 2022.40660066948, sigma = 13.3320334576804, A = 101.249057770973"
